W_x,L_x,W_PCT_x,MIN_x,FGM_x,FGA_x,FG_PCT_x,FG3M_x,FG3A_x,FG3_PCT_x,FTM_x,FTA_x,FT_PCT_x,OREB_x,DREB_x,REB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,W_y,L_y,W_PCT_y,MIN_y,FGM_y,FGA_y,FG_PCT_y,FG3M_y,FG3A_y,FG3_PCT_y,FTM_y,FTA_y,FT_PCT_y,OREB_y,DREB_y,REB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,totalPoints
32,31,0.508,240,52,91,0.571,12,26,0.462,13,16,0.813,10,33,43,30,10,5,17,19,29,34,0.46,240,41,87,0.471,13,39,0.333,16,20,0.8,9,25,34,22,11,7,17,15,240
31,31,0.5,240,43,93,0.462,13,35,0.371,17,19,0.895,13,29,42,21,4,7,9,17,29,32,0.475,240,48,97,0.495,6,21,0.286,17,20,0.85,16,32,48,19,6,5,8,15,235
31,30,0.508,240,45,90,0.5,16,30,0.533,23,28,0.821,13,33,46,20,7,2,15,18,34,26,0.567,240,43,87,0.494,14,39,0.359,27,29,0.931,6,31,37,20,12,6,9,21,256
30,30,0.5,240,50,85,0.588,15,28,0.536,21,23,0.913,5,37,42,28,7,8,14,21,38,25,0.603,240,40,88,0.455,13,35,0.371,26,29,0.897,10,25,35,20,9,6,11,23,255
29,30,0.492,240,40,97,0.412,5,26,0.192,16,21,0.762,8,32,40,25,6,7,4,18,33,27,0.55,240,45,96,0.469,14,43,0.326,18,22,0.818,10,45,55,16,2,4,9,21,223
29,28,0.509,240,50,103,0.485,10,26,0.385,15,19,0.789,14,34,48,29,9,6,10,10,14,43,0.246,240,40,94,0.426,11,37,0.297,15,17,0.882,14,35,49,25,9,5,19,17,231
28,28,0.5,240,43,95,0.453,10,29,0.345,20,27,0.741,20,39,59,23,6,4,18,22,30,27,0.526,240,39,86,0.453,7,30,0.233,22,29,0.759,9,26,35,24,14,10,10,19,223
25,25,0.5,240,45,95,0.474,7,27,0.259,16,20,0.8,15,32,47,24,12,2,8,18,28,24,0.538,240,42,80,0.525,19,39,0.487,17,19,0.895,6,31,37,25,5,5,14,15,233
24,23,0.511,240,45,83,0.542,11,25,0.44,17,20,0.85,6,34,40,24,5,4,16,20,13,34,0.277,240,45,89,0.506,13,34,0.382,19,22,0.864,6,30,36,28,11,2,12,18,240
24,22,0.522,240,56,100,0.56,13,34,0.382,14,16,0.875,14,25,39,27,6,4,7,16,25,22,0.532,240,49,83,0.59,13,30,0.433,13,17,0.765,9,25,34,27,5,3,12,15,263
22,22,0.5,240,45,76,0.592,13,27,0.481,18,22,0.818,2,26,28,27,9,5,16,17,24,21,0.533,240,43,89,0.483,8,31,0.258,19,20,0.95,12,29,41,30,10,4,14,22,234
19,22,0.463,240,39,87,0.448,11,30,0.367,16,18,0.889,6,35,41,25,5,3,11,12,27,14,0.659,240,45,98,0.459,18,48,0.375,6,11,0.545,14,43,57,28,6,4,10,15,219
17,19,0.472,240,48,101,0.475,11,38,0.289,14,20,0.7,12,29,41,22,6,5,10,19,15,21,0.417,240,52,96,0.542,10,32,0.313,16,18,0.889,12,43,55,34,7,6,16,17,251
17,18,0.486,240,42,97,0.433,8,22,0.364,15,22,0.682,11,36,47,22,5,6,3,14,23,12,0.657,240,42,83,0.506,10,26,0.385,14,17,0.824,5,42,47,22,0,13,12,18,215
17,16,0.515,240,49,92,0.533,12,34,0.353,20,24,0.833,8,40,48,30,10,8,8,20,8,27,0.229,240,37,90,0.411,9,33,0.273,22,29,0.759,9,34,43,17,7,3,14,19,235
16,16,0.5,240,39,91,0.429,14,37,0.378,16,16,1.0,9,38,47,22,6,7,15,15,13,18,0.419,240,43,86,0.5,7,24,0.292,17,22,0.773,8,39,47,20,9,4,11,15,218
16,15,0.516,240,48,94,0.511,12,32,0.375,18,20,0.9,6,35,41,29,7,3,10,18,11,21,0.344,240,45,95,0.474,12,34,0.353,23,25,0.92,10,35,45,29,8,8,8,17,251
14,13,0.519,265,47,98,0.48,13,39,0.333,16,21,0.762,8,37,45,28,3,6,14,22,11,15,0.423,265,48,100,0.48,7,27,0.259,19,23,0.826,13,40,53,28,11,6,18,21,245
13,11,0.542,240,44,102,0.431,13,38,0.342,13,17,0.765,17,37,54,24,7,4,18,24,11,13,0.458,240,43,95,0.453,12,34,0.353,23,24,0.958,14,35,49,25,8,4,16,19,235
13,10,0.565,240,49,88,0.557,10,28,0.357,9,14,0.643,12,31,43,24,7,3,12,14,14,8,0.636,240,45,85,0.529,12,32,0.375,7,13,0.538,9,24,33,31,8,0,15,12,226
11,9,0.55,240,35,88,0.398,10,36,0.278,18,19,0.947,8,34,42,24,6,3,9,12,10,11,0.476,240,40,82,0.488,9,33,0.273,17,19,0.895,6,40,46,28,8,5,12,16,204
11,7,0.611,240,41,92,0.446,11,30,0.367,22,23,0.957,10,37,47,23,9,6,13,20,10,7,0.588,240,41,89,0.461,9,31,0.29,15,21,0.714,10,38,48,27,6,2,18,23,221
10,6,0.625,265,46,92,0.5,7,25,0.28,25,32,0.781,11,39,50,23,5,5,14,20,9,8,0.529,265,48,108,0.444,8,37,0.216,18,22,0.818,17,34,51,27,11,6,13,25,246
9,6,0.6,240,42,101,0.416,7,32,0.219,10,13,0.769,14,31,45,21,5,5,9,11,12,3,0.8,240,48,88,0.545,21,46,0.457,9,10,0.9,6,43,49,29,4,8,14,20,227
8,4,0.667,240,39,88,0.443,6,26,0.231,20,23,0.87,11,43,54,19,8,2,18,22,5,7,0.417,240,32,83,0.386,6,30,0.2,25,30,0.833,9,36,45,15,10,5,17,22,199
